Region,Site Name,Site.Number,Lab No.,CRA,Error,Material ID,Source,NZTM E,NZTM N
Southern,"Mary Island Burial, Hauroko",C45/1,NZ0883,306,41,Leptospermum scoparium,Database,1160719,4892101
Southern,"Lee Island, Te Anau",D41/7,NZ6733,281,50,"Leptospermum scoparium - dominant; Coprosma sp. - subdominant; Phyllocladus alpinus, Podocarpus totara, P. hallii, Nothofagus solandri var - minor; fern, unidentified - trace",Anderson and McGovern-Wilson 1991,1195832,5000252
Southern,"Sealers Bay, Codfish Island",D48/21,Wk21442,464,36,Hebe salicifolia 7 - Pseudopanax colensoi 7 - Leptospermum scoparium 6 - Fuchsia excorticata 3 - Griselina littoralis 3 - Myrsine australis 2,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/21,Wk21443,542,35,Leptospermum scoparium 4 - Hebe salicifolia 2 - Pseudopanax colensoi 7 - Melicytus ramiflorus 1 - Myrsine australis 1,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/5a,Wk21436,740,35,Hebe salicifola 6 - Pseudopanax colensoi 5 - Leptospermum scoparium 4 - Pseudopanax edgerleyi 3 - Myrsine australis 2 - Coprosma sp. 1 - Griselinia littoralis 1 - Pseudopanax crassifolius 1,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/5a,Wk21437,631,35,Myrsine australis 5 - Griselinia littoralis 3 - Leptospermum scoparium 3 - Hebe salicifolia 1 - Coprosma sp. 1 - Aristotelia serrata 1 - Fuchsia excorticata 1,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/5a,Wk21438,197,35,Pteridium esculentum 2 - Fuchsia excorticata 1 - Pseudopanax edgerleyi 1 - Ascarina lucida 1 ,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/5,Wk21439,529,35,Aristotelia serrata 9 - Hebe salicifolia 8 - Leptospermum scoparium 7 - Pseudopanax edgerleyi 2 -  Ascarina lucida 1 - Dracophyllum longifolium 1,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/5,Wk21440,517,34,Hebe salicifolia 3 - Leptospermum scoparium 3 - Coprosma sp. 2 - Aristotella serrata 1 - Fuchsia excorticata 1 - Myrsine australis 1,Smith and Anderson 2008,1190900,4807072
Southern,"Sealers Bay, Codfish Island",D48/5,Wk21441,548,35,Hebe salicifolia 5 - Leptospermum scoparium 3 - Coprosma sp. 2 - Pseudopanax crassifolius 2 - Fuchsia excorticata 1 ,Smith and Anderson 2008,1190900,4807072
Southern,Cascase state forest,E38/3,NZ7348,541,72,"Weinmannia recemose, Daacrydium cupresinum, Nothofagus sp., Olearia sp.",Database,1225724,5109327
Southern,Barn Bay,E38/7,NZ7340,669,72,"Hoheria sp., Schleffera digitata, Hebe sp., Metrosideros sp., Nothofagus sp., Weinmannia racemosa, Aristotelia serrata, Myrsine australis, Lagarostrabos colensoi, Podocarpus totara/hallii",Database,1225524,5109427
Southern,"Dart Bridge, Glenorcy",E40/2,NZ5324,587,56,Coprosma sp,Database,1229859,5030926
Southern,"Dart Bridge, Glenorcy",E40/2,NZ5325,723,57,Coprosma sp - dominant. Sophora sp [probably S microphylla] -subdominant. Nothofagus sp. - trace,Database,1229859,5030926
Southern,Tiwai Point,E47/13,NZ4469,656,29,"Leptospermum scoparium 76%, Podocarpus totara/hallii [probably P totara] 20 % Pittosporum sp 4 %",Database,1245538,4829776
Southern,Parkburn,G41/2,NZ5336,365,55,Discaria toumatou - dominant. Podocarpus totara/hallii - minor. Leptospermum ericoides - trace,Database,1305551,5014969
Southern,Parkburn,G41/2,NZ5337,340,39,Discaria toumatou,Database,1305551,5014969
Southern,Parkburn,G41/2,NZ5338,426,32,Discaria toumatou,Database,1305551,5014969
Southern,Tinwaldburn,G41/288,NZ5416,303,45,Discaria toumatou,Database,1307650,5018874
Southern,Rockfall II,G41/453,NZ5340,632,45,Discaria toumatou - dominant. Sophora sp [probably S.microphylla] - minor. Coprosma sp. Leptospermum ericoides - trace,Database,1303963,5001156
Southern,Rockfall II,G41/453,NZ5341,376,38,Discaria toumatou - dominant. Hebe sp. - minor. Sophora sp [probably S microphylla] Coprosma sp - minor,Database,1303963,5001156
Southern,Hawksburn,G42/13,NZ5044,692,33,"Coprosma sp. Dominant, Olearia sp. Minor)",Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5045,709,33,Coprosma sp.-dominant. Olearia sp subdominant. Hebe sp minor,Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5046,714,33,"Coprosma sp. Dominant, Olearia sp. Minor)",Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5047,611,33,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5048,691,33,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5049,652,33,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5050,720,33,"Coprosma sp. dominant, Olearia sp. Minor, Phylloclodies alpimus - rare",Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5051,668,33,Hebe sp. Olearia sp. Coprosma sp.,Anderson 1978,1300075,4986641
Southern,Hawksburn,G42/13,NZ5052,663,28,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,1300075,4986641
Southern,Italian Creek,G42/183,NZ4715,309,82,"Hebe sp. 50%, Discaria toumatou 50%",Database,1310071,4997260
Southern,Italian Creek,G42/183,NZ4716,579,96,"Discaria toumatou 66%, Hebe sp. 34 %",Database,1310071,4997260
Southern,Italian Creek,G43/183,NZ4714,399,88,"Hebe sp. 84%, Discaria toumatou 16%",Database,1310071,4997260
Southern,Coal Creek,G43/51,NZ6855,655,40,"Hoheria/Plagianthus gp - dominant; Coprosma sp (2), Olearia sp - subdominant; unidentified - minor",Database,1311520,4956631
Southern,Papatowai,G47/50,Wk1761,650,45,Twigs from the following: Leptospermum scoparium - 13pc; Pseudopanax arboreus - 3pc; Pseudowinteria colorata - 3pc; Hoheria sp. - 3pc; Nothofagus sp. - 2pc; Coprosma sp. - 1pc; Pittosporum sp. - 1pc; Archeria traversi - 1pc; bark,Database,1330143,4837793
Southern,Papatowai,G47/50,Wk1762,640,45,Leptospermum scoparium - 14pc; Pseudopanax edgerleyi - 6pc; Myrsine australis - 3pc; Hoheria sp. - 1pc; Dracophyllum sp. - 1pc,Database,1330143,4837793
Southern,Papatowai,G47/50a,NZA1415,570,66,Leptospermum scoparium - 1pc; Pseudopanax arboreus - 1pc; Carpodetus serratus - 1pc,Database,1330143,4837793
Southern,Killermont No.2,H39/19,WK2782,640,35,Short lived,Challis 1995,1349342,5066532
Southern,Killermont No.2,H39/19,WK2916,620,45,Short lived,Challis 1995,1349342,5066532
Southern,Killermont No.2,H39/19,WK2991,590,45,Short lived,Challis 1995,1349342,5066532
Southern,Pounawea,H47/1,NZ5032,816,78,Leptospermum scoparium - dominant; Pod. Tot/hal,Database,1346626,4848133
Southern,Te Ngawai,I38/4,NZ6297,647,-25.35,Myrsine australis dominant Hymenanthera minor,Database,1416444,5102372
Southern,Te Ngawai,I38/5,NZ6364,657,28,Myrsine australis,Fankhauser 1992,1416544,5102372
Southern,Mt Parker,I40/43,NZ6210,609,33,Myrsine australis,Fankhauser 1992,1416479,5037266
Southern,Mount Parker,I40/44,NZ6409,718,34,Olearia sp. Myrsine australis,Fankhauser 1992,1415779,5037066
Southern,Wainui,I40/46,NZ6211,589,33,Myrsine australis,Fankhauser 1992,1410878,5037662
Southern,Wainui,I40/48,NZ6383,588,28,"Coprosma sp. Dominant, Hebe sp. Minor",Fankhauser 1992,1411178,5038063
Southern,Wainui,I40/49,NZ6171,509,41,Coprosma sp.,Fankhauser 1992,1410978,5038063
Southern,Wainui,I40/51,NZ6212,392,25,Myrsine australis dominant Hymenanthera minor,Fankhauser 1992,1410878,5037863
Southern,Wainui,I40/52,NZ6393,588,34,"Myrsine australis dominant, Sophora microphylla minor",Fankhauser 1992,1413079,5036564
Southern,Mapoutahi Pa,I44/17a,NZ6698,182,45,"Myrsine australis - dominant; Carpodetus serratus, Pittosporum tenuifolium - subdominant; Hebe sp., unidentified - minor)",Database,1414586,4932663
Southern,Mapoutahi Pa,I44/17,NZ6770,258,50,"Leptospermum scoparium, Myrsine australis - codominant; Pittisporum tenuifolium, Carpodetus serratus, Coprosma sp., Hebe sp., unidentified - minor ",Database,1414586,4932663
Southern,Mapoutahi Pa,I44/17,NZ6759,257,50,"Melicytus ramiflorus - dominant; Sophora microphylla, Myrsine australis, Leptospermum scoparium, Hebe sp., Coriaria arborea, Podocarpus totara/hallii, unidentified - minor)",Database,1414586,4932663
Southern,Long Beach,I44/23,NZ4704,476,56,"Coprosma sp. - dominant; Podocarpus totara/hallii, Hebe sp. - sub-dominant; Pittosporum sp., Hoheria or Plagianthus sp, Leptospermum scoparium - minor; Pseudopanax sp. - trace",aaMcGovern-Wilson 1985,1417090,4929766
Southern,Sandfly Bay,I44/68,NZA22837,679,35,"coprosma, pittosporum, plagianthus, mapau, kanuka",Briden 2005,1417912,4914669
Southern,Sandfly Bay,I44/68,NZA22838,691,35,"Cordyline australlis, kanuka, southern rata",Briden 2005,1417912,4914669
Southern,Sandfly Bay,I44/68,NZA22836,498,45,"Cordyline australis, coprosma sp, ngaio, ?shrub",Briden 2005,1417912,4914669
Southern,Te Mako,J40/10,NZ6208,560,28,Lophomyrtus obcordata,Fankhauser 1992,1443875,5042285
Southern,Brunswick Downs,J40/12,NZ6209,675,28,Myrsine australis,Fankhauser 1992,1420182,5031896
Southern,Limestone Hills,J40/18,NZ6300,173,32,Hebe sp. Dominant with Podocarpus totara,Fankhauser 1992,1439576,5041782
Southern,Holmeview,J40/21,NZ6411,140,32,Leptospermum ericoides,Fankhauser 1992,1435076,5041179
Southern,Holmeview,J40/21,NZ6166,180,36,Letospernum scoparium dominant; Psuedopanax crassifoilius,Fankhauser 1992,1435076,5041179
Southern,Katiki Point,J42/20,NZ0697,519,59,Small stems mainly Myrsine australis,Fankhauser 1992,1432938,4970882
Southern,Pleasant River Mouth,J43/1,Wk2790,700,90,Muehlenbeckia sp - 10pc. Coprosma sp. - 4pc. Discaria toumatou - 6pc. Plagianthus divaricatus - 5 pc. Olearia sp. - 3 pc,Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1a ,NZ7961,443,83,"Discaria toumatou - 70%, Ribbonwood/lacebark - 26%, Cordyline australis stem - 4%",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1a ,NZA2802,494,62,Olearia sp.,Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ7960,507,64,"Coprosma sp. - 50%, Discaria toumatou - 25%, Shrub ?Coprosma sp. - 25%",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1a ,NZA3740,624,65,Discaria toumatou,Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ7964,665,41,"Discaria toumatou - 58%, Olearia sp. - 16%, Hebe sp. - 16%, bark - 8%",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ7963,602,69,"Discaria toumatou - 58%, shrub sp. - 21%, Ribbonwood/lacebark - 11%, Hebe sp. - 5%, Coprosma sp. - 5% ",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ8096,705,35,"Discaria toumatou - 40%, Pittosporum sp. - 32%, Ribbonwood - 28%",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ8098,655,33,"Discaria toumatou - 34%, Ribbonwood - 28%, Hebe sp. - 21%, Coprosma sp. - 10%, Nothofagus sp. twig - 7%",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ8095,878,33,Discaria toumatou,Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ8097,647,37,"Plagianthus divaricatus - 38%, Hebe sp. - 31%, Discaria toumatou - 23%, Kunzea ericoides - 4%, Pseudopanax sp. - 4%) ",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,NZ8099,624,37,"Plagianthus - 33%, Discaria toumatou - 23%, Pittosporum sp. - 16%, Myrsine australis - 15%, Olearia sp. - 6%, Hebe sp. - 6%) ",Smith 1999,1422579,4952433
Southern,Pleasant River Mouth,J43/1 ,Wk 2789,550,90,Discaria toumatou - 13 pieces. Pittosporum sp. - 4pc. Muehlenbeckia sp. - 6pc. Coprosma sp. - pc. Shrub sp. 1 pc,Database,1422579,4952433
Southern,Shag River Mouth,J43/2,NZ7759,627,47,"Olearia - 31%, Hoheria - 25%, Coprosma - 25%, Pseudopanax arboreus - 13%, Myrsine australis - 6%) ",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7771,660,46,"Pseudowinteria colorata - 60%, Leptospermum scoparium - 30%, Pittosporum - 10%)",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7734,781,37,Flax (Phormium tenax) ,Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZA0887,626,95,"Coprosma - 22%, Pseudowinteria colorata - 22%, Olearia - 22%, shrub sp. - 22%, Kunzea ericoides - 11%",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZA0888,585,93,"Melicytus ramiflorus - 36%, Hoheria - 29%, Hebe - 14%, Elaeocarpus - 7%, Pteridium - 7%, Coprosma - 7%",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7760,582,47,"Hoheria - 32%, Pittosporum - 21%, Shrup sp. - 21%, Olearia - 16%, Kunzea ericoides - 5%, Sophora microphylla - 5%",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7756,670,47,"Hoheria - 95%, Myrsine australis - 5%",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,Wk2589,630,35,Hoheria sp.,Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7755,646,47,"Hoheria - 99%, Hebe - 1%",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7757,537,44,Hoheria sp.,Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7761,600,50,"Hoheria - 37%, Pittosporum - 23%, Coprosma - 20%, Myrsine australis - 10%, Pseudopanax - 7%, P. eugenioides - 3%",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7758,580,47,"Hoheria - 80%, Olearia - 15%, Pseudopanax - 2%, Coprosma - 2% ",Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7762,647,47,Hoheria sp.,Database,1429249,4961279
Southern,Shag River Mouth,J43/2,NZ7763,592,48,"Hoheria - 50%, Pseudopanax arboreus - 17%, Pittosporum - 17%, Coprosma - 16%",Database,1429249,4961279
Southern,Flock Hill,L34/2,NZ7466,468,66,Coprosma sp. (twigs),Trotter 1988,1501420,5216676
Central,Kairaki Pit,M35/379,Wk16455,129,33,Unspecified twigs,Trotter and McCulloch 2005,1574991,5198145
Central,Moa-bone point cave,M36/25,NZ0511,633,38,Bark and outer portion,Trotter 1975b,1578296,5177289
Central,Birdlings Flat,M37/161,Wk27973,662,36,"Short lived - Dodonea viscose, Myoporum laetum and Leucopogon fasciculatus",Trotter 2010,1576416,5147716
Northern,Houhora,N03/323,NZ6581,430,32,Beilschmiedia tarairi - dominant; Kunzea ericoides - subdominant,Database,1602064,6149725
Northern,Houhora,N03/455,NZ6608,482,40,Beilschmiedia tarairi - dominant; Leptospermum scoparium - minor; unidentified,Database,1601658,6151822
Northern,Mt Camel,N03/59,NZA2438,727,86,Pittosporum sp. [possibly tenuifolium] - 6pc; Coprosma sp. - 5pc; Hebe sp. - 2pc; Brachyglottis repanda - 1pc,Database,1614567,6146463
Northern,Mt Camel,N03/59,NZA2437,774,87,"Olearia sp. - 1pc; Beilschmiedia taraire - 1pc; Pseudopanax sp. [possibly arboreus] - 1pc, Leptospermum scoparium - 1pc",Database,1614567,6146463
Northern,Mt Camel,N03/59,NZA2436,632,86,"Dodonaea viscosa - 2pc; Pittosporum sp. - 1pc; Leptospermum scoparium - 1pc, Beilschmiedia taraire - 1pc",Database,1614567,6146463
Northern,Mt Camel,N03/59,NZ7921,300,54,Cassinia retorta - 5pc; Plagianthus betulinus - 3pc; Leptospermum scoparium - 3pc; Olearia sp. - 2pc; Melicytus ramiflorus - 1pc,Database,1614567,6146463
Northern,Tauroa Point,N05/302a,Wk13534,746,39,Leptospermum ericoides,Allen et al. 2005,1605390,6105260
Northern,Tauroa Point,N05/302,Wk13536,183,36,Leptospermum ericoides,Allen et al. 2005,1605390,6105260
Northern,Tauroa Point,N05/302,Wk13535,218,37,Varied shot lived species,Allen et al. 2005,1605390,6105260
Northern,Tauroa Point,N05/302,Wk13533,239,37,"Leptospermum ericoides, Cassinia sp.",Allen et al. 2005,1605390,6105260
Northern,Tauroa Point,N05/302,Wk13537,178,39,Leptospermum ericoides,Allen et al. 2005,1605390,6105260
Northern,Tauroa Point,N05/315,Wk13538,339,33,Leptospermum ericoides,Allen et al. 2005,1605790,6104961
Northern,Tauroa Point,N05/315,Wk13531,383,40,Cassinia sp.,Allen et al. 2005,1605790,6104961
Northern,Tauroa Point,N05/315,Wk13530,356,38,Leptospermum ericoides,Allen et al. 2005,1605790,6104961
Northern,Tauroa Point,N05/315a,Wk13532,233,38,"Pittosporum, Leptospermum ericoides",Allen et al. 2005,1605790,6104961
Central,Awaroa Inlet,N26/18,WK1827,430,60,"Melicytus ramiflorus, Myrsine australis, Coprosma sp. Dodonaea viscose",Database,1601714,5476581
Central,Awaroa Inlet,N26/18,WK2094,460,50,"Melicytus ramiflorus, Myrsine australis, Coprosma sp. Dodonaea viscose",Database,1601714,5476581
Central,Panau,N36/72,WK2570,640,50,Twigs - long lived species removed,Database,1602486,5166495
Central,Panau,N36/72,WK2571,114,50,Twigs - long lived species removed,Database,1602486,5166495
Central,Panau,N36/72,WK2566,134,56,Twigs - long lived species removed,Jacomb 1995,1602486,5166495
Central,Panau,N36/72,WK2567,380,55,Twigs - long lived species removed,Jacomb 1995,1602486,5166495
Central,Panau,N36/72,WK2569,600,45,Twigs - long lived species removed,Jacomb 1995,1602486,5166495
Central,Tumbledown Bay,N37/12,NZ7655,213,47,"Twigs - Myoporum leatum, Olearia avicenniaefolia, Pseudopanaz arboreum, Metrosideros umbellat, Myrsine australis, Prumnopitys taxifolia, hoheria sp.",Challis 1995,1581497,5144404
Central,Tumbledown Bay,N37/12,NZ7656,418,47,"Twigs - Prumnopitys taxifolia, Dacrydium curessinum, Pittisporum sp., Coprosma sp.",Challis 1995,1581497,5144404
Central,Tumbledown Bay,N37/12,NZ7661,476,43,Alectryon excelsus dominant; Schefflera digitata minor,Challis 1995,1581497,5144404
Northern,Oruru Valley,O04/252,NZ7338,330,55,"Cyathea dealbata - 95%, Podocarpus sp. bark - 5%",Database,1646516,6123465
Northern,Oruru Valley,O04/252,NZ7334,410,55,Leptospermum scoparium,Database,1646516,6123465
Northern,Oruru Valley,O04/253,NZ7335,410,55,Beilschmiedia tarairi,Database,1646417,6123264
Northern,Waipoua Forest,O06/170,Wk1087,360,50,"Ackama rosifolia, Metrosideros robusta, Brachyglottis repanda, Carpodetus serratus, Cyathea dealbata",Database,1646897,6055602
Northern,Waipoua Forest,O06/171,Wk1084,570,105,"Myrsine sp., Brachyglottis repanda, Dodonaea viscosa, Ackama rosifolia, Coprosma sp., Olearia sp.",Database,1646796,6055801
Northern,Waipoua Forest,O06/249,Wk1085,460,50,"Knightia excelsa, Elaeocarpus dentatus, Prumnopitys taxifolia, Vitex lucens, Dysoxylum spectabile, Beilschmeidia tarari, Dodonae viscosa, Melicytus ramiflorus, Brachyglottis repanda, Scheffliera digitata, Pseudopanax arboreus",Database,1646697,6055801
Northern,Motutoa,O06/307,NZA0514,156,93,Fern sp.,Trotter 1967a/Fredericksen 1990,1639556,6072772
Northern,Motutoa,O06/307,NZA0538,304,75,Fern sp.,Database/Fredericksen1990,1639556,6072772
Northern,Motutoa,O06/308,NZA0515,90,89,Ackama rosaefolia,Anderson 1991,1639757,6072773
Central,Maitai Valley,O27/35,NZ7544,595,49,Unspecified (twigs),Database,1631602,5428196
Central,Maitai Valley,O27/35,NZ7545,896,95,Unspecified (twigs),Database,1631602,5428196
Central,Fyffe Site,O31/30,NZ2716,840,60,Leptospermum sp. And Coprosma sp.,Database,1658120,5303715
Northern,Kaikohe,P05/0,NZ7451,191,64,"Schefflera digitata - 90%, Fern sp - 10%",Database,1684602,6085084
Northern,Windus,P05/0,NZ7337,250,50,"Beilschmiedia tawa - 50%, Hebe sp. - 25%, Myrsine australis - 25%",Database,1684602,6085084
Northern,Kaikohe,P05/0,NZ7309,400,55,"Cyathea dealbata - 40%, Podocarpus totara - 10%, Metrosideros sp. - 5%",Database,1684602,6085084
Northern,Kaikohe,P05/0,NZ7308,495,55,"Knightia excelsa, Dysoxylum spectabile, Beilschmiedia taraire, Coprosma sp., Fern stems",Database,1684602,6085084
Northern,Pouerua,P05/0,NZ7304,280,55,Cyathea dealbata,Database,1684602,6085084
Northern,Pouerua,P05/0,NZ7303,357,65,Cyathea dealbata,Database,1684602,6085084
Northern,Pouerua,P05/0,NZ7247,250,50,"Hebe sp. - 80%, Brachyglotis responda - 20%",Database,1684602,6085084
Northern,Kaikohe,P05/0,NZ7450,230,64,Pteridium aquilinium var. esculentum 99% - Vitex lucens 1 %,Database,1685504,6084087
Northern,Pouerua,P05/195,NZ7341,250,50,"Myrsine sp., Olearia sp., carbonised seeds sp.",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7333,380,60,"Cyathodes fasciculata, Hoheria sp., Dysoxylum spectible, Leptospermum sp.",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7326,900,211,Olearia rani,Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7322,390,55,"Myrsine sp. - 50%, Schefflera digitata - 30%, Coprosma sp. - 10%, unidentified shrub - 10%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7312,260,55,"Schefflera digitata - 80%, Dysoxylum spectible - 5%, Beilschmiedia tawa - 10%, Coprosma sp. - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7310,300,55,"Schefflera digitata - 60%, Brachyglottis repanda - 15%, Coprosma sp. - 10%, Hebe sp. - 5%, Dysoxylum spectible - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ7255,250,50,"Hebe sp., Myrsine divaricata - co-dominant",Database,1684602,6085084
Northern,"Pouerua, Gardens",P05/195,NZ7251,430,60,"Schefflera digitata - 60%, Olearia sp., Litsea calicaris, Hebe sp., Vitex lucens, Dysoxylum spectabile, unidentifiable shrub",Database,1684602,6085084
Northern,"Pouerua, Gardens",P05/195,NZ7249,250,50,"Hebe sp. - 75%, Myrsine sp. [probably australis] - 20%, Leptospermum scoparium - 5%",Database,1684602,6085084
