Region,Site Name,Site.Number,Lab No.,CRA,Error,Material ID,Source,NZTM E,NZTM N
Northern,Pouerua,P05/195,NZ6999,270,50,"Geniostoma ligustrifolium - 55%, Broadleaf shrub - 40%, Dacrydium cupressinum/ Podocarpus totara/hallii gp. - 5%",Database,1684602,6085084
Northern,Pouerua,P05/195,NZ6980,225,36,"Hebe sp. - 85%, Brachyglottis repanda - 15%, Coprosma sp., Olearia sp., Hoheria sp.",Database,1684602,6085084
Northern,"Haratua's Pa, Pouerua",P05/228,NZ6967,363,37,Elaeocarpus dentatus and/or Elaeocarpus hookerianus,Database,1686799,6085890
Northern,Field School Pa,P05/371,NZ7339,735,60,"Pteridium aquilinium var. esculentum] - 10-20pc, Vitex lucens - 1pc ",Database,1683304,6084581
Northern,Field School Pa,P05/371,NZ7311,250,50,"Beilschmiedia taraire - 2pc; Myrsine sp. [probably australis] - 1pc; Pseudopanax crasifolius - 5pc; Schefflera digitata - 2pc, Hebe sp. - 3pc; gynomsperm twig - 1pc, Dysoxylum spectabile - 6pc",Database,1683304,6084581
Northern,Kaikohe,P05/402,NZ7254,250,50,"Leptospermum scoparium/ Kunzea ericoides - 90%, Cyathea dealbata, Carpodetus serratus, ? gymnosperm",Database,1685405,6083787
Northern,Kaikohe,P05/402,NZ7250,330,60,Pteridophyte [probably Leptospermum scoparium)],Database,1685405,6083787
Northern,Cattleyards Pa,P05/408,NZ7330,407,60,"Leptospermum sp., unidentified anglosperm",Database,1685701,6085287
Northern,Wairoa Bay,P05/854,Wk 12418,454,43,"Manuka, Rangiora, 5 finger and Coprosma sp.",Best 2003,1698339,6106712
Northern,Wairoa Bay,P05/854,Wk 12419,213,51,"Hebe sp., Coprosma, 5-finger",Best 2003,1698339,6106712
Northern,Wairoa Bay,P05/854,Wk 13057,529,41,Kanuka and Pohutukawa,Best 2003,1698339,6106712
Northern,Paihia Treatment Ponds,P05/958,Wk20300,242,35,Short lived species,Mallows 2007a,1696982,6094934
Northern,Paihia Treatment Ponds,P05/958,Wk20301,160,35,Short lived species,Mallows 2007a,1696982,6094934
Northern,Paihia Treatment Ponds,P05/958,Wk20302,212,35,Short lived species,Mallows 2007a,1696982,6094934
Northern,Kaikohe,P06/82,Wk3919,220,50,Nut - Unspecified,Slocombe 2001,1669531,6076349
Northern,Kaikohe,P06/82,Wk3920,220,40,Nut - Unspecified,Slocombe 2001,1669531,6076349
Central,Tataraimaka,P19/221,NZ6552,480,33,"Pseudopanax sp., Shefflera digitata, Hedycanya arborea minor; Paratropis sp. Macropiper exedsum",Database,1676325,5666536
Central,Tataraimaka,P19/221,NZ6555,203,32,Pseudopanax sp. Corynocarpus laevigatus; Paratrophis sp.,Database,1678025,5664937
Central,Oakura,P19/26,NZ6563,263,28,Hebe sp.,Database,1686321,5669143
Central,Clarence Gardens,P30/36,Wk18813,160,37,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18814,283,33,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18815,211,31,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18816,140,39,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18817,115,37,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18818,176,42,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18819,215,39,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18822,110,35,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18823,156,33,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18824,295,43,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18825,213,33,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/36,Wk18812,214,32,Short lived species,Habberfield-Short 2006a,1676194,5335621
Central,Clarence Gardens,P30/38,Wk18820,229,35,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/38,Wk18821,305,30,Short lived species,Habberfield-Short 2006a,1676202,5335324
Central,Clarence Gardens,P30/38,Wk18811,190,38,Short lived species,Habberfield-Short 2006a,1676194,5335621
Central,Clarence stone row,P30/5,NZ3113,382,59,Coprosma sp. Hebe sp. Podocarpus spicatus,Database,1676689,5423095
Northern,Mt Tikorangi,Q07/1284,Wk29070,170,30,Manuka,Johnson and Callaghan 2011,1717963,6037074
Northern,Mt Tikorangi,Q07/1284,Wk29071,135,30,Manuka,Johnson and Callaghan 2011,1717963,6037074
Central,Waipapa,Q07/nn,Wk24674,275,35,"Mahoe, wineberry",Gibb 2011,1709757,5683458
Central,Waipapa,Q07/nn,Wk24675,179,30,Bracken,Gibb 2011,1709757,5683458
Central,Waipapa,Q07/nn,Wk24676,354,31,"Five finger, Coprosma",Gibb 2011,1709757,5683458
Central,Waipapa,Q07/nn,Wk24677,261,35,"Five finger, Tutu, mahoe",Gibb 2011,1709757,5683458
Central,Waipapa,Q07/nn,Wk24678,549,35,"Coprosma, mahoe, pate",Gibb 2011,1709757,5683458
Northern,Waipu South 515,Q08/515,Wk20429,414,36,Short lived species,"Baquie et al., 2007",1732959,6009862
Northern,"Pouto , Kaipara",Q09/237,NZ6551,174,28,Leptospermum sp. [probably ericoides],Database,1702613,5976801
Northern,Jock's Knob,Q09/261,NZ6550,456,33,"Leptospermum sp., Pseudopanax sp., Coprosma sp.",Database,1702876,5979625
Northern,Jock's Knob,Q09/261,NZ6584,230,50,Ptenidium esculentum - dominant; Coriaria arborea - minor; Unidentified - trace,Database,1702876,5979625
Northern,Matauriki Pa,Q09/262,NZ6512,106,41,Leptospermum scoparium,Database,1705250,5979578
Northern,Waller Excavation,Q09/429,NZ7581,339,48,Beilschmiedia tarairi,Database,1713369,5956177
Northern,Waioneke,Q10/32,ANU0761a,100,70,Unspecified (twigs),Database,1715400,5955408
Central,Kuwhatahi,Q18/87,Wk9189,240,50,Short lived species,Talyor 2001,1739181,5707782
Central,Tikorangi,Q19/352,Wk20585,189,39,"Mahoe, Hebe",Hawkins 2008a,1710553,5677888
Central,Tikorangi,Q19/353,Wk20586,513,41,"Bracken, Pseudopanax, Horopito, Mahoe, Matai",Hawkins 2008a,1710145,5677872
Central,Tikorangi,Q19/354,Wk20587,189,39,Bracken,Hawkins 2008a,1709942,5677878
Central,Tikorangi,Q19/354,Wk20588,212,35,Bracken,Hawkins 2008a,1709170,5678621
Central,Tikorangi,Q19/357,Wk20589,187,36,Hebe,Hawkins 2008a,1709265,5678462
Central,Tikorangi,Q19/359,Wk20590,213,34,Hebe,Hawkins 2008a,1709035,5679163
Central,Tikorangi,Q19/359,Wk20591,191,34,"Tutu, Hebe sp. (short lived)",Hawkins 2008a,1709035,5679163
Central,Taranaki Kainga,Q19/66,Wk30542,196,35,"Tutu, Hebe, Coprosma (short lived species)",Bader 2011,1712504,5684060
Central,Johnston Site,Q22/77,NZ7778,475,46,"Melicytus ramiflorus, Pseudopanax arboreus",Database,1739058,5594582
Central,Johnston Site,Q22/77,NZ7779,126,46,"Melicytus ramiflorus, Pseudopanax arboreus",Database,1739058,5594582
Central,Johnston Site,Q22/77,NZ7780,481,46,Bracken (Pteridium aquilinum),Database,1739058,5594582
Central,Johnston Site,Q22/77,NZ7811,299,29,Melicytus sp. Coprosma sp. Hebe sp.,Database,1739058,5594582
Central,Johnston Site,Q22/77,NZ7813,538,34,"Matai, Coprosma",Database,1739058,5594582
Central,Te Ika-a-Maru,Q27/36,NZA2182,413,90,"Coprosma sp. Olearia sp. Kunzea ericoides, Dysoxylum spectabile",Database,1739380,5432489
Northern,"Pig Bay, Motutapu",R10/22,NZ0222,823,40,Unspecified (twigs),Database,1770342,5930928
Northern,Station Bay Pa - Motutapu,R10/26,NZ4349,35,66,Pteridium aquilinum var. esculentum,Davidson 1972,1772441,5931633
Northern,Station Bay Terraace,R10/38,NZ1167,410,86,Unspecified (twigs),Database,1771940,5931631
Northern,Station Bay Terraace,R10/38,NZ1166,510,86,Unspecified (twigs),Database,1771940,5931631
Northern,Whangaparoa,R10/80,Wk20432,378,36,Short lived,Bickler et al 2008,1770361,5945498
Northern,Clevedon Pa,R11/108,Wk2756,320,50,"Melicytus ramiflorus, Olearia sp., Pittosporum sp. [eugenioides?], Coprosma sp., Pseudopanax arboreus, Auicennia resinifera, Pseudopanax crassifolius",Young 2010,1760660,5922409
Northern,Clevedon Pa,R11/108a,Wk2757,360,50,"Olearia sp., Coprosma sp., Leptospermum scoparium, Metrosideros excelsa/Kunzea ericoides, Beilschmeidia tarairi",Young 2010,1760660,5922409
Northern,Wiri Railway Site,R11/1188,NZ7019,372,60,Myrsine australis,Baquie and Lawlor 1995/Database,1765099,5903019
Northern,Maugarei (Mt Wellington),R11/12,NZ8127,391,44,Melicytus ramiflorus,Database,1764375,5915317
Northern,Maugarei (Mt Wellington),R11/12,NZA0827,233,106,Melicytus ramiflorus,Database,1764375,5915317
Northern,Maungarei (Mt Welington),R11/12,NZA1618,403,49,Melicytus ramiflorus,Database,1764375,5915317
Northern,Maungarei (Mt Welington),R11/12,NZA1619,383,54,Melicytus ramiflorus,Database,1764375,5915317
Northern,"Mutukaroa, Hamlin's Hill",R11/142,NZ5962,411,76,"Coprosma sp. - dominant; Metrosideros sp., Podoarpus sp. - minor",Database,1763381,5912215
Northern,"Tamaki River, Waipuna",R11/1436,Wk5057,590,50,Cyathean dealbata,Clough and Turner 1998,1764979,5913018
Northern,Cryers Road,R11/1519,Wk1126,300,50,"Hebe sp., Myoporum laetum, Griselinia littoralis, Beilschmeidia tawa, Pseudopanax crassifolius, Nestigis sp., Prumnopitys taxifolia, unidentified fern",Frederickson and Visser 1989.,1768084,5910525
Northern,Puketapapa Pa,R11/19,NZ4471,305,56,"Coprosma sp. - 80%, Hebe sp. - 20%",Database,1754699,5913410
Northern,Puketapapa Pa,R11/19a,NZ4472a,288,45,"Coprosma sp. - 46%, Leptospermum sp. [probably scoparium] - 42%, Hebe sp. - 12%",Database,1754699,5913410
Northern,Puhinui,R11/25,NZ5164,305,76,"Myoporum laetum, Melicytus sp. [probably ramiflorus] - codominant",Baquie and Lawlor 1995/Database,1764061,5902027
Northern,Puhinui,R11/25,NZ5165,333,56,Myoporum laetum - dominant; Melicytus sp. [probably ramiflorus] - minor,Baquie and Lawlor 1995/Database,1764061,5902027
Northern,Puhinui,R11/25,NZ5166,207,75,Myoporum laetum - dominant; Melicytus sp. [probably ramiflorus] - subdominant; Hebe sp. - trace,Baquie and Lawlor 1995/Database,1764061,5902027
Northern,Puhinui,R11/25,NZ5167,566,85,Leptospermum sp. [probably scoparium],Baquie and Lawlor 1995/Database,1764061,5902027
Northern,Puhinui,R11/25,NZ5170,352,56,Hebe sp. - dominant; Melicytus sp. [probably ramiflorus] - trace,Baquie and Lawlor 1995/Database,1764061,5902027
Northern,Broomfields Road,R11/330,Wk19194,419,32,Short lived,Phillips 2006,1774080,5912036
Northern,Crater Hill,R11/602,WK2023,320,45,"twigs (Hebe sp. - 95%, unspecified - 5%)",Baquie and Lawlor 1995/Database,1761995,5905013
Northern,Crater Hill,R11/602a,Wk2024,330,45,"twigs (Hebe sp. - 90%, Pseudopanax sp. - 10%)",Baquie and Lawlor 1995/Database,1761995,5905013
Northern,Manukau Harbour,R11/859,Wk27373,403,30,Coprosmas sp.,Campbell 2011,1756420,5903527
Northern,Manukau Harbour,R11/859,Wk28701,426,35,Mangrove,Campbell 2011,1756420,5903527
Northern,Manukau Harbour,R11/859,Wk28702,246,36,"Tutu, Hebe, coprosma manuka",Campbell 2011,1756420,5903527
Northern,Manukau Harbour,R11/859,Wk28705,377,30,"Bracken, tutu, hebe",Campbell 2011,1756420,5903527
Northern,Westfield,R11/898,Wk2030,340,45,Cyathea medullaris,Database,1764482,5911717
Northern,Waikorea Beach,R14/55,Wk1899,560,4,"Pennantia corymbosa - dominant; shrub sp., unidentified",Database,1762852,5814014
Northern,Kaiwaka Point Pa,R15/255,NZ6272,268,81,"Leptospermum scoparium - dominant; Lophomyrtus obaordata, Coprosma sp., unidentified - minor",Database,1764495,5783914
Northern,Kaiwaka Point Pa,R15/255,NZ6273,322,81,"Leptospermum scoparium - dominant; Lophomyrtus obaordata, Coprosma sp., Pseudopanax sp. - minor",Database,1764495,5783914
Northern,Taharoa,R16/10,NZ5237,397,55,"Hebe sp., Coprosma sp., Leptospermum sp., Myoporum laetum , Melicytus sp.; Podocarpus totara/hallii - trace",Database,1749808,5773294
Central,Whitireia,R26/115,NZ2696,75,32,Pteridium esculentum,Database,1754980,5449256
Central,Mana Island,R26/141,NZ7887,556,71,"Kunzea ericoides, Melicytus ramiflorus Coprosma sp.",Database,1749850,5449286
Central,Mana Island,R26/141,NZ7888,588,72,"Schefflera digitata, Carpodetus serratus, Pseudopanax arboreus, Macropiper excelsa, Melicytus ramiflorus, Hoheria sp., Coprosma sp., Hebe sp., Olearia sp.",Database,1749850,5449286
Central,Mana Island,R26/141a,NZ7889,891,106,"Coprosma sp., Olearia sp., Macropiper excelsus, Aristotelia serrata, Myrsine sp., Kunzea ericoides",Database,1749850,5449286
Central,Mana Island,R26/141,NZ7890,556,89,"Macropiper excelsus, Coprosma sp., Pseudopanax arboreus, Olearia sp., Melicytus ramiflorus, Hebe sp., Pittosporum eugenoides",Database,1749780,5449286
Central,Mana Island,R26/141,NZ7891,434,65,"Coprosma sp., Olearis sp.",Database,1749780,5449286
Northern,Kay Road,S14/204,Wk2705,310,150,Beilschmeidia tawa - 6 pieces of twig and 10 pieces of tawa,Database,1794639,5825263
Northern,Horotiu,S14/222,Wk28967,329,30,Seeds,Hoffman 2011,1794266,5823837
Northern,Horotiu,S14/222,Wk28968,332,30,Seeds,Hoffman 2011,1794266,5823837
Northern,Mangakaware 3,S15/18,NZ1125,286,83,Ponga,Database,1795000,5799215
Northern,Old school road,S15/378,Wk2706,940,10,Beilschmeidia tawa - 6 twig pieces and 3 bark pieces; Knightia excelsa - 2 pc,Database,1817129,5803142
Northern,Cambridge Bypass,S15/66,Wk26296,223,33,Bracken (short lived),Mallows 2009c,1819433,5803775
Northern,Cambridge Bypass,S15/66,Wk26297,154,30,Olearia sp. (short lived),Mallows 2009c,1819433,5803775
Northern,Cambridge Bypass,S15/66,Wk26298,347,30,Supplejack (short lived),Mallows 2009c,1819433,5803775
Central,Himatangi Beach ,S24/26,NZ6267,456,55,"Shefflera digitata dominant; Vitex lucens, Podocarpus totara group minor",Database,1789181,5527091
Central,Maymorn Ridge,S26/3,NZ1057,747,59,Unspecified (twigs),Database,1783680,5456683
Central,"Moikau, PB",S28/9,NZ1644,775,59,Unspecified (twigs),Database,1784873,5412882
Central,"Moikau, PB",S28/9,NZ1645,777,59,Unspecified (twigs),Database,1784873,5412882
Northern,Great Mercury Island,T10/944,Wk25353,455,30,Ngaio and pohutakawa twigs,Furey 2009,1849149,5945070
Northern,Great Mercury Island,T10/944,Wk25354,149,30,"Ngaio, coprosmam, manuka five finger",Furey 2009,1849149,5945070
Northern,Hahei,T11/326,NZ4950,300,45,"Melicytus ramiflorus, Hebe sp. - codominant; Agathis australis - subdominant; Pittosporum sp. - minor",Database,1850742,5918897
Northern,Hahei,T11/326,NZ4951,556,61,"Pittosporum sp, Melicytus ramiflorus - codominant; Agathis australis - minor; Pseudopanax colensoi/arboreus group - rare",Database,1850742,5918897
Northern,Hahei,T11/326,NZ4952,549,560,"Melicytus ramiflorus - dominant; Melicope sp., Hebe sp., Agathis australis, Podocarpus totara/hallii - codominant; unidentified dicot, Metrosideros sp. - minor",Database,1850742,5918897
Northern,Whangapoua Forest,T11/644,Wk0968,940,45,Nestigis sp.,Database,1835058,5927166
Northern,Whangamata waste water,T12/1243,Wk22531,273,33,Leptospermum scoparium,Mallows 2009,1853872,5878329
Northern,Oruarangi Pa,T12/192,NZ4179,277,40,Bracken,Best 1980/Database,1829173,5878001
Northern,Pukehue Pa,T12/299,Wk3038,160,45,"Leptospermum scoparium, Hebe sp., Pseudopanax arboreus, Dracophyllum sp.",Allen et al. 1993,1828351,5880938
Northern,Puriri River 340,T12/340,Wk2641,110,45,Leptospermum ericoides - 10 pc; Hebe sp. - 5 pc; Quintinia serrata - 2 pc; Pseudopanax arboreus - 1 pc; Melicytus ramiflorus - 1 pc; Coprosma sp. - 1 pc; Olearia sp. - 1 pc,Database,1832612,5876258
Northern,Whetukura Pa,T12/345,Wk2950,290,50,"Dodonaea viscosa, Hebe sp., Leptospermum scoparium, Pseudopanax arboreus, Pseudopanax crassifolius, Lophomurtus bullata, Olearia sp., unidentified shrub",Allen et al. 1993,1828353,5880038
Northern,Whetukura Pa,T12/345a,Wk2951,290,90,"Pseudopanax arboreus, Pittosporum sp., Dracophyllum sp., unidentified shrub",Allen et al. 1993,1828353,5880038
Northern,Hurumoimoi Pa,T12/347,Wk2852,350,60,Hebe sp. - 12 pc; Leptospermum scoparium - 7 pc; Pseudopanax arboreus - 5 pc; Pittosporum sp. - 4 pc; unidentified shrub,Allen et al. 1993,1828052,5880237
Northern,Hurumoimoi Pa,T12/347a,Wk2853,70,54,Olearia sp. - 9 pc; Avicennia resinifera - 5 pc; Leptospermum scoparium - 5 pc; Hoheria sp. - 3 pc; Dodonaea viscosa - 1 pc; unidentified shrub - 1 pc,Allen et al. 1993,1828052,5880237
Northern,Puriri River 882,T12/882,Wk2640,110,55,"bark of Leptospermum scoparium, Myrsine australis, Hebe sp.",Database,1831861,5876143
Central,Okoropunga,T28/47,NZ3114,337,79,Coprosma sp. Hebe sp.,Database,1821373,5409073
Central,Okoropunga ,T28/47,NZ3115,531,58,"Coprosmas sp. Dominant, Podocarpus totara minor",Database,1820872,5408773
Northern,Ongarahu,U14/157,Wk31086,220,31,"tutu, mapou, puriri",Furey 2011a,1868772,5828325
Northern,Welcome Bay,U14/177,NZ6304,89,54,Melicytus ramiflorus - dominant; Hebe sp. - minor; Leptospermum sp. - minor; unidentified - minor,Database,1887493,5818610
Northern,Papamoa Hills,U14/1810,Wk14091,222,27,Tutu,Gumbley 2004,1889017,5817191
Northern,Papamoa Hills,U14/1810,Wk14092,195,30,Short lived species,Gumbley 2004,1889017,5817191
Northern,Oropi Road,U14/1945,Wk13117,355,35,Mahoe,Campbell and Paihana 2003,1876747,5817261
Northern,Welcome Bay,U14/2039,Wk17778,616,35,"54% Coriaria arborea, 23% Hebe, 23% Coprosma",Hooker 2005a,1881290,5817689
Northern,Welcome Bay,U14/2039,Wk17779,639,35,"54% Coriaria arborea, 23% Hebe, 23% Coprosma",Hooker 2005a,1881290,5817689
Northern,Papamoa Dune,U14/2897,Wk17613,138,39,Manuka twig,Felgate 2006a,1886783,5824213
Northern,Poplar Lane,U14/3081,Wk19481,296,31,Bracken root and Tutu,Gumbley 2007,1888696,5817511
Northern,Rowesdale,U14/3218,Wk16952,447,32,Mahoe and Five finger,Campbell 2005,1877709,5817183
Northern,The Mall,U14/363,Wk20394,892,30,Coprosma sp.,Mallows 2007,1880567,5829715
Northern,Omokoroa ,U14/712,Wk25349,283,30,"Manuka, Olearis sp, Akeake",Furey 2011,1867653,5828654
Northern,Paengaroa,U15/501,Wk19541,452,34,Ponga,Moore 2006a,1898808,5802155
Northern,Paengaroa,U15/502,Wk19542,412,36,Bracken,Moore 2006a,1898858,5802085
Northern,Hamurana Road,U15/9,Wk16047,266,49,Short lived species,Campbell and Phillips 2005,1886343,5785383
Northern,Hamurana Road,U15/9,Wk16049,242,34,Short lived species,Campbell and Phillips 2005,1886343,5785383
Northern,Hamurana Road,U15/9,Wk16048,228,35,Short lived species,Campbell and Phillips 2005,1886343,5785383
Northern,Hamurana Road,U15/9,Wk16046,160,46,Short lived species,Campbell and Phillips 2005,1886343,5785383
Northern,Motuwhetero,U16/83,NZ1129,207,43,Leptospermum sp.,Database,1896469,5772787
Central,Okau,U26/14,NZ4722,221,55,Unspecified (twigs),Database,1874503,5476374
Northern,Paengaroa,V15/5,Wk19096,423,36,Tree fern,Hooker 2006,1901850,5806371
Northern,Kohika Swamp Pa,V15/80,NZ6583,212,32,Letospermum sp.,Database,1932868,5797463
Northern,Kohika Swamp Pa,V15/80,NZ6619,190,39,Pteridium esculentum,Database,1932868,5797463
Northern,"Maruka 2, Kawerau",V16/211,NZ5318,336,56,Cyatha dealbata,Database,1922686,5778028
Northern,"Maruka 2, Kawerau",V16/211,Wk1740,460,55,Melicytus ramiflorus  ,Database,1922686,5778028
Northern,Maruka  ,V16/219,Wk1744,370,55,Kunzia ericoides,Database,1923688,5776728
Northern,Maruka  ,V16/219,Wk1745,350,55,Cyathea dealbata,Database,1923688,5776728
Northern,Maruka  ,V16/220,Wk1742,360,55,"Hebe sp., Leptospermum scoparium",Database,1923488,5776728
Northern,Maruka  ,V16/220,Wk1743,520,80,"Cyathea dealbata - 95%, Phyllocladus sp. - 5%",Database,1923488,5776728
Northern,Maruka  ,V16/243,Wk1741,400,55,Hebe sp.,Database,1923287,5777328
Central,Otatara Pa,V21/168,NZA1351,414,63,"Myrsine australis, Hebe sp., Alectryon excelsa",Database,1929191,5615176
Central,Motukumara,V21/45,Wk1962,220,50,"Hoheria/Plagianthus sp., Hebe sp., Coprosma sp., Melicytus ramiflorus, Pseudopanax arboreus, unidentified scrub sp",Database,1922528,5613766
Central,Motukumara,V21/45,Wk1963,250,0,"Pseudopanax crassifolius, Schefflera digitata, Corynocarpus laevigata",Database,1922528,5613766
Central,Motukumara,V21/45,Wk1964,250,0,"Pteridium aquilinium - 80%, Scheffliera digitata - 20%",Database,1922528,5613766
Central,Kahotea,V22/119,Beta51319,360,70,"Hebe sp., Pittosporum sp., Pseudopanax crassifolis, unidentified conifer, Podocarpus spicatus, Schleffera digitata, Myoporum laetum, unidentified shrub",Database,1912829,5581136
Central,Waimotu,V22/16,Beta51316,1140,80,Alectryon excelsus,Database,1916328,5596649
Central,Tiromoana Pa,W21/1,NZ1912,118,83,Pseudopanax sp.,Database,1942350,5603863
Northern,Tolaga Bay,Y17/100,NZ6562,564,51,tree fern with some Pteriduem esculentum,Database,2058070,5746808
Northern,East Coast Pa,Y17/275,Wk1148,370,70,Unspecified (twigs),Database,2059534,5746158
Northern,Te Karaka Oven,Y17/459,NZ7399,607,66,Pseudopanax arboreus,Database,2026188,5729890
Northern,Marama Tawhaua,Z17/211,Wk1147,360,125,Unspecified (twigs),Database,2062645,5742454
Central,Iwinui Orchard Pa,Z17/221,NZ7398,213,64,"Leptospermum ericoides, Beilschmiedia tawa, Coprosma sp., Hebe sp., Cassinia sp., fern stem",Database,2060527,5741553
Northern,Iwinui Orchard Pa,Z17/221,NZ7394,134,64,"Beilschmiedia tawa, Hebe sp., Myrsine australis",Database,2060541,5741529
Northern,Cooks Cove,Z17/311,Wk24846,361,35,Short lived species,Walter et al 2010,2066293,5738514
Northern,Cooks Cove,Z17/311,Wk24847,389,36,Short lived species,Walter et al 2010,2066293,5738514
